"Blocking Key Value","Frequency"
"THTOOF,REFA,THTHOF,NIOFTH,LEONTH,THUPOF,THBLOF,CIOFBO,THLOOF,ACOOF","30"
"THRIOF,LAOFTH,THVOOF,WE,THHEOF,THLOHE","28"
"LOOFTH","26"
"THEDOF,THDRGI,THTIOF,THGOOF,ARSHAN,BEDA,THMASE,THFAAN,LOME,THSWTH","24"
"THGIWI,THDROF,THDAOF,INTHCO,THDE,THDIOF,THCAWH,THTH,PEOFTH","22"
"COMA,THSC,AM,THCOST,CAUNAN","21"
"THHUFO,THCIOF,THISOF,THSEMA,THRI,THEVOF,PL,THCOSH,THLABA,THRUOF,THMAKI","20"
"THGIWH,KIOFTH,THQUOF","19"
"THGRDE,JOTOTH,THTR,ASPOF,THBROF","18"
"THYEOF,THHIOF,THFI,THSO","17"
"BA","407"
"THBOOB,THRIAN,THGAST,POOFA,THLI,THSICH,DALOOF,AB,THLAST,THHOAN,GORO,SETHNI,THLAMA,NA,THLADA,THSAOF,THROLI,THBAOF,SPBO","16"
"MO","392"
"THMOIN,THHO,THLO,DAOFTH","15"
"SA","366"
"THADOF","364"
"THCOOF","354"
"THREOF","350"
"THLEOF","344"
"THSOOF","324"
"THBEOF","308"
"THSTOF","306"
"THMAOF","1220"
"THWADE","960"
"WI","806"
"THBOOF","624"
"CO","558"
"THDEOF","516"
"ST","474"
"THHOOF","465"
"THFAOF","420"
"RE","414"
"DA","275"
"THAROF","270"
"THSIOF","260"
"THCHOF","259"
"IN","258"
"THWAOF,THLAOF","252"
"THSEOF","240"
"THCAOF","238"
"THPROF","215"
"THSHOF,THPOOF,MA","210"
"THRE","204"
"THMA","198"
"HOOFTH","192"
"SO","180"
"DIOFA","176"
"EL","175"
"FL","168"
"AN","147"
"THCO","144"
"THRA","135"
"THLIOF","132"
"DR","128"
"THGIIN","120"
"HA","116"
"RA","112"
"NE","108"
"BR","102"
"SOOFTH,ABRHI,THIN","96"
"DE","95"
"SE","94"
"THWOOF,THMIOF","92"
"THPAOF","91"
"THROTO","90"
"UN","88"
"THMEOF","86"
"THCH","82"
"THMAWH","80"
"THNAOF,GR","78"
"THMOOF,THDI","77"
"SW,WO","75"
"THPR,CA","74"
"REME","72"
"THSE","69"
"THKIOF","68"
"BL","67"
"THPHOF,DO","66"
"OULAOF","65"
"THWIGI,THENOF","64"
"TR","63"
"THTAOF","62"
"THBOIN,THST,RU","60"
"GO,ONUPA,ADEIN","56"
"THSWOF","55"
"AMAOF,CR,THOTSI","54"
"WH,THTROF","52"
"THCROF","51"
"THSUOF,THFOOF,BO,SK","48"
"THTEOF,THBEAN","45"
"THSELI,HAPOAN,THMAIN,PROFTH","42"
"ME","41"
"THSESE,THCUOF","40"
"FI,SC,TA","39"
"THCAIN,EV,VE,OUOFTH,THWIKI,THEMOF","36"
"LE","35"
"THSI,TE","34"
"STINTH,THPO,THHAOF","33"
"THSEFO,TAOFTH,THDEHO,THVE,THGHOF","32"
"THCA","31"
