"Blocking Key Value","Frequency"
"SE,THLIOF,THTROF","40"
"THCROF,THSE","39"
"THBOIN,THPR,CA,SK,WH,DAOFEA,THTEOF","36"
"ADEIN","35"
"BR","34"
"THPRDI,TR","33"
"GO","32"
"BL","31"
"THSEMA,THCAWH,THEMOF","30"
"THCH,THWOOF,THMIOF,THENOF","28"
"MO","210"
"DE,SW,THHAOF","27"
"THSOOF","207"
"BO,VE,OULAOF,THHEOF,THCUOF","26"
"THDEOF","204"
"THLOFL","25"
"THSTOF,BA,ST","198"
"THGIIN,THPHOF,WHTHPE,CIOFTH,BRDA,LOME","24"
"THSIOF","182"
"THDE,THSI,TE","22"
"THSEOF","135"
"AMAOF,CR,THLOOF,THMAIN","21"
"THREOF","133"
"THSHOF","130"
"RE","129"
"THLEOF","120"
"THMAOF","660"
"THHOOF","435"
"WI","325"
"CO","306"
"THADOF","273"
"THFAOF","240"
"THBOOF","234"
"THCAOF","231"
"THLAOF","228"
"THCOOF,SA","216"
"THDROF,WE,THMEOF,THBEAN","20"
"FI","19"
"THTOOF,THCIOF,NIOFTH,THRI,THSC,ME,THSAOF,THMASE,LOOFTH","18"
"THDAOF","17"
"THRE","116"
"THCAIN,RAACOF,THSEFO,LAOFTH,DALOOF,THVOOF,RU,SC,THGOOF,THROLI,THGHOF,FOONTH","16"
"DA","115"
"THRIOF,THMOIN,THPO,LEONTH,THOTSI","15"
"IN","114"
"BOOFTH,COMA","14"
"THWAOF","108"
"THMO","13"
"THPROF,CAUNAN","105"
"STTR,THCATA,JOTOTH,AWAIN,REME,ASTIN,THCA,THHO,ABRHI,THTIOF,THSWAT,NA,PL,ASPOF,THSESE,THRUOF,THLOSY,PROFTH,HAWOAN","12"
"FL,THMAWH","92"
"KIOFTH,THHIOF,AM,UN","11"
"THCHOF","91"
"THMA","90"
"MA","86"
"THCO,THRA","81"
"SKPLTH,TAOFTH,THTH,THVI,CE,BLWA,THLADA,TA,OUOFTH,CIOFBO,ACOOF,THBAOF,THBROF","10"
"THGINE,SHWA,THMYBE,THSELI,THAN,THLI,THMALA,LOCR","9"
