"Blocking Key Value","Frequency"
"THLIOF","330"
"CHOFTH","315"
"BO,IM","312"
"KI","308"
"KA","306"
"THST","300"
"FE,THSE","299"
"EV","288"
"THGAOF","285"
"LE,TO,THSIOF","280"
"THCOOF","2124"
"THSHOF","273"
"DR","2112"
"THWA","261"
"TR","2079"
"BL","2077"
"THMAOF","2013"
"BE","1863"
"CH","1848"
"HE","1798"
"PA","1768"
"THSTOF","1683"
"RE","5934"
"CO","4743"
"MA","4515"
"THBOOF","4056"
"IN","3268"
"CA","2664"
"SH","2640"
"ST","2607"
"DE","2565"
"SA","2196"
"MO","1680"
"HA","1624"
"THLAOF","1596"
"WI","1550"
"THRE","1479"
"HO","1407"
"RA","1400"
"THCO,THSEOF","1296"
"DA","1265"
"SU","1248"
"SP","1224"
"FA","1152"
"CR","1134"
"THCAOF","1122"
"THTAOF","1054"
"FR","1040"
"WA","1025"
"MI","984"
"UN","968"
"FL,SI","966"
"THREOF","950"
"SE","940"
"PO","918"
"THPROF","903"
"THHOOF","899"
"BR","867"
"THWIOF","840"
"AN","833"
"THSOOF","828"
"PR","816"
"NE,THMYOF","792"
"THWAOF","756"
"TE","748"
"FI","741"
"ME","738"
"THDEOF","731"
"SO","720"
"PE","703"
"THFAOF","700"
"THIN","672"
"BA,THPR","666"
"FO,THLEOF","645"
"SC","624"
"AR","608"
"THAROF","594"
"THADOF","588"
"THCH","574"
"TH","561"
"RO","551"
"THTROF","520"
"DI","510"
"THMA","495"
"THDE","484"
"THCHOF","481"
"TI","476"
"GR","468"
"THPOOF","462"
"THMAWH","460"
"GO,THENOF","448"
"AL,EX","432"
"THMEOF","430"
"NI,THRIOF","420"
"LI","405"
"TA","390"
"CL","377"
"WO","375"
"THDAOF,DO","374"
"THCA","372"
