"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorEqual record1Value","[0] BookTitleComparatorEqual record2Value","[0] BookTitleComparatorEqual record1PreprocessedValue","[0] BookTitleComparatorEqual record2PreprocessedValue","[0] BookTitleComparatorEqual similarity","[0] BookTitleComparatorEqual postproccesedSimilarity","[1] BookTitleComparatorLevenshtein record1Value","[1] BookTitleComparatorLevenshtein record2Value","[1] BookTitleComparatorLevenshtein record1PreprocessedValue","[1] BookTitleComparatorLevenshtein record2PreprocessedValue","[1] BookTitleComparatorLevenshtein similarity","[1] BookTitleComparatorLevenshtein postproccesedSimilarity","[2] BookTitleComparatorJaccard record1Value","[2] BookTitleComparatorJaccard record2Value","[2] BookTitleComparatorJaccard record1PreprocessedValue","[2] BookTitleComparatorJaccard record2PreprocessedValue","[2] BookTitleComparatorJaccard similarity","[2] BookTitleComparatorJaccard postproccesedSimilarity","[3] BookPublishDateComparator2Years record1Value","[3] BookPublishDateComparator2Years record2Value","[3] BookPublishDateComparator2Years record1PreprocessedValue","[3] BookPublishDateComparator2Years record2PreprocessedValue","[3] BookPublishDateComparator2Years similarity","[3] BookPublishDateComparator2Years postproccesedSimilarity","[4] BookPublishDateComparator10Years record1Value","[4] BookPublishDateComparator10Years record2Value","[4] BookPublishDateComparator10Years record1PreprocessedValue","[4] BookPublishDateComparator10Years record2PreprocessedValue","[4] BookPublishDateComparator10Years similarity","[4] BookPublishDateComparator10Years postproccesedSimilarity","[5] BookAuthorComparatorJaccard record1Value","[5] BookAuthorComparatorJaccard record2Value","[5] BookAuthorComparatorJaccard record1PreprocessedValue","[5] BookAuthorComparatorJaccard record2PreprocessedValue","[5] BookAuthorComparatorJaccard similarity","[5] BookAuthorComparatorJaccard postproccesedSimilarity","[6] BookAuthorComparatorLevenshtein record1Value","[6] BookAuthorComparatorLevenshtein record2Value","[6] BookAuthorComparatorLevenshtein record1PreprocessedValue","[6] BookAuthorComparatorLevenshtein record2PreprocessedValue","[6] BookAuthorComparatorLevenshtein similarity","[6] BookAuthorComparatorLevenshtein postproccesedSimilarity","[7] BookAuthorComparatorLowerCaseJaccard record1Value","[7] BookAuthorComparatorLowerCaseJaccard record2Value","[7] BookAuthorComparatorLowerCaseJaccard record1PreprocessedValue","[7] BookAuthorComparatorLowerCaseJaccard record2PreprocessedValue","[7] BookAuthorComparatorLowerCaseJaccard similarity","[7] BookAuthorComparatorLowerCaseJaccard postproccesedSimilarity"
"WekaMatchingRule","C5456","wiki_books_10401","0.007389887993991027","0","The Anybodies","The Anybodies","The Anybodies","The Anybodies","1.0","1.0","The Anybodies","The Anybodies","The Anybodies","The Anybodies","1.0","1.0","The Anybodies","The Anybodies","The Anybodies","The Anybodies","1.0","1.0","2004-06-01T00:00","2004-06-28T00:00","2004-06-01T00:00","2004-06-28T00:00","1.0","1.0","2004-06-01T00:00","2004-06-28T00:00","2004-06-01T00:00","2004-06-28T00:00","1.0","1.0","Julianna_Baggott",,"Julianna_Baggott",,"0.0","0.0","Julianna_Baggott",,"Julianna_Baggott",,"0.0","0.0","Julianna_Baggott",,"julianna_baggott","","0.0","0.0"
"WekaMatchingRule","C1780","wiki_books_806","0.01867651067234186",,"Madonnaland","Maurice","Madonnaland","Maurice","0.0","0.0","Madonnaland","Maurice","Madonnaland","Maurice","0.18181818181818177","0.18181818181818177","Madonnaland","Maurice","Madonnaland","Maurice","0.0","0.0","2016-03-01T00:00","1970-01-01T00:00","2016-03-01T00:00","1970-01-01T00:00","0.0","0.0","2016-03-01T00:00","1970-01-01T00:00","2016-03-01T00:00","1970-01-01T00:00","0.0","0.0","Alina_Simone","E. M. Forster","Alina_Simone","E. M. Forster","0.0","0.0","Alina_Simone","E. M. Forster","Alina_Simone","E. M. Forster","0.07692307692307687","0.07692307692307687","Alina_Simone","E. M. Forster","alina_simone","e. m. forster","0.0","0.0"
"WekaMatchingRule","C5390","wiki_books_16168","0.07871818314397928",,"The Adventures of the Dish and the Spoon","The Adventures of Ook and Gluk: Kung-Fu Cavemen from the Future","The Adventures of the Dish and the Spoon","The Adventures of Ook and Gluk: Kung-Fu Cavemen from the Future","0.0","0.0","The Adventures of the Dish and the Spoon","The Adventures of Ook and Gluk: Kung-Fu Cavemen from the Future","The Adventures of the Dish and the Spoon","The Adventures of Ook and Gluk: Kung-Fu Cavemen from the Future","0.4444444444444444","0.4444444444444444","The Adventures of the Dish and the Spoon","The Adventures of Ook and Gluk: Kung-Fu Cavemen from the Future","The Adventures of the Dish and the Spoon","The Adventures of Ook and Gluk: Kung-Fu Cavemen from the Future","0.3076923076923077","0.3076923076923077","2006-04-06T00:00","2011-08-10T00:00","2006-04-06T00:00","2011-08-10T00:00","0.0","0.0","2006-04-06T00:00","2011-08-10T00:00","2006-04-06T00:00","2011-08-10T00:00","0.5","0.5","Mini_Grey","Dav Pilkey","Mini_Grey","Dav Pilkey","0.0","0.0","Mini_Grey","Dav Pilkey","Mini_Grey","Dav Pilkey","0.19999999999999996","0.19999999999999996","Mini_Grey","Dav Pilkey","mini_grey","dav pilkey","0.0","0.0"
"WekaMatchingRule","C5072","wiki_books_13514","0.9982785280613697",,"The Secret Magdalene","The Secret Magdalene","The Secret Magdalene","The Secret Magdalene","1.0","1.0","The Secret Magdalene","The Secret Magdalene","The Secret Magdalene","The Secret Magdalene","1.0","1.0","The Secret Magdalene","The Secret Magdalene","The Secret Magdalene","The Secret Magdalene","1.0","1.0","2005-03-01T00:00","2005-03-28T00:00","2005-03-01T00:00","2005-03-28T00:00","1.0","1.0","2005-03-01T00:00","2005-03-28T00:00","2005-03-01T00:00","2005-03-28T00:00","1.0","1.0","Ki_Longfellow","Ki Longfellow","Ki_Longfellow","Ki Longfellow","1.0","1.0","Ki_Longfellow","Ki Longfellow","Ki_Longfellow","Ki Longfellow","0.9230769230769231","0.9230769230769231","Ki_Longfellow","Ki Longfellow","ki_longfellow","ki longfellow","1.0","0.0"
"WekaMatchingRule","C136","wiki_books_2733","0.033085437934594744",,"Sapphique","Saturday","Sapphique","Saturday","0.0","0.0","Sapphique","Saturday","Sapphique","Saturday","0.2222222222222222","0.2222222222222222","Sapphique","Saturday","Sapphique","Saturday","0.0","0.0","0001-09-18T00:00","2005-01-28T00:00","0001-09-18T00:00","2005-01-28T00:00","0.0","0.0","0001-09-18T00:00","2005-01-28T00:00","0001-09-18T00:00","2005-01-28T00:00","0.0","0.0","Catherine_Fisher","Ian McEwan","Catherine_Fisher","Ian McEwan","0.0","0.0","Catherine_Fisher","Ian McEwan","Catherine_Fisher","Ian McEwan","0.125","0.125","Catherine_Fisher","Ian McEwan","catherine_fisher","ian mcewan","0.0","0.0"
"WekaMatchingRule","C3129","wiki_books_3999","0.033085437934594744",,"The Kingdom of This World","The Kingdom of the Wicked","The Kingdom of This World","The Kingdom of the Wicked","0.0","0.0","The Kingdom of This World","The Kingdom of the Wicked","The Kingdom of This World","The Kingdom of the Wicked","0.76","0.76","The Kingdom of This World","The Kingdom of the Wicked","The Kingdom of This World","The Kingdom of the Wicked","0.5","0.5","1905-05-02T00:00","1985-09-01T00:00","1905-05-02T00:00","1985-09-01T00:00","0.0","0.0","1905-05-02T00:00","1985-09-01T00:00","1905-05-02T00:00","1985-09-01T00:00","0.0","0.0","Alejo_Carpentier","Anthony Burgess","Alejo_Carpentier","Anthony Burgess","0.0","0.0","Alejo_Carpentier","Anthony Burgess","Alejo_Carpentier","Anthony Burgess","0.125","0.125","Alejo_Carpentier","Anthony Burgess","alejo_carpentier","anthony burgess","0.0","0.0"
"WekaMatchingRule","C5518","wiki_books_342","0.01867651067234186",,"The Lake of Dead Languages","The Languages of Pao","The Lake of Dead Languages","The Languages of Pao","0.0","0.0","The Lake of Dead Languages","The Languages of Pao","The Lake of Dead Languages","The Languages of Pao","0.34615384615384615","0.34615384615384615","The Lake of Dead Languages","The Languages of Pao","The Lake of Dead Languages","The Languages of Pao","0.5","0.5","2002-01-01T00:00","1970-01-01T00:00","2002-01-01T00:00","1970-01-01T00:00","0.0","0.0","2002-01-01T00:00","1970-01-01T00:00","2002-01-01T00:00","1970-01-01T00:00","0.0","0.0","Carol_Goodman","Jack Vance","Carol_Goodman","Jack Vance","0.0","0.0","Carol_Goodman","Jack Vance","Carol_Goodman","Jack Vance","0.07692307692307687","0.07692307692307687","Carol_Goodman","Jack Vance","carol_goodman","jack vance","0.0","0.0"
"WekaMatchingRule","C4208","wiki_books_11955",,"0","Solitaire (novel)","Klingsor's Last Summer","Solitaire (novel)","Klingsor's Last Summer","0.0","0.0","Solitaire (novel)","Klingsor's Last Summer","Solitaire (novel)","Klingsor's Last Summer","0.13636363636363635","0.13636363636363635","Solitaire (novel)","Klingsor's Last Summer","Solitaire (novel)","Klingsor's Last Summer","0.0","0.0","1905-06-24T00:00","1970-01-01T00:00","1905-06-24T00:00","1970-01-01T00:00","0.0","0.0","1905-06-24T00:00","1970-01-01T00:00","1905-06-24T00:00","1970-01-01T00:00","0.0","0.0","Kelley_Eskridge","Hermann Hesse","Kelley_Eskridge","Hermann Hesse","0.0","0.0","Kelley_Eskridge","Hermann Hesse","Kelley_Eskridge","Hermann Hesse","0.1333333333333333","0.1333333333333333","Kelley_Eskridge","Hermann Hesse","kelley_eskridge","hermann hesse","0.0","0.0"
"WekaMatchingRule","C2299","wiki_books_4948",,"0","A Wild Sheep Chase","The Longest Night","A Wild Sheep Chase","The Longest Night","0.0","0.0","A Wild Sheep Chase","The Longest Night","A Wild Sheep Chase","The Longest Night","0.16666666666666663","0.16666666666666663","A Wild Sheep Chase","The Longest Night","A Wild Sheep Chase","The Longest Night","0.0","0.0","1982-10-15T00:00","2002-12-02T00:00","1982-10-15T00:00","2002-12-02T00:00","0.0","0.0","1982-10-15T00:00","2002-12-02T00:00","1982-10-15T00:00","2002-12-02T00:00","0.0","0.0","Haruki_Murakami","J. N. Williamson","Haruki_Murakami","J. N. Williamson","0.0","0.0","Haruki_Murakami","J. N. Williamson","Haruki_Murakami","J. N. Williamson","0.0625","0.0625","Haruki_Murakami","J. N. Williamson","haruki_murakami","j. n. williamson","0.0","0.0"
"WekaMatchingRule","C5209","wiki_books_14867","0.007389887993991027",,"The Decline of Eastern Christianity under Islam","The Death of a Pope","The Decline of Eastern Christianity under Islam","The Death of a Pope","0.0","0.0","The Decline of Eastern Christianity under Islam","The Death of a Pope","The Decline of Eastern Christianity under Islam","The Death of a Pope","0.276595744680851","0.276595744680851","The Decline of Eastern Christianity under Islam","The Death of a Pope","The Decline of Eastern Christianity under Islam","The Death of a Pope","0.2","0.2","1991-07-01T00:00","1970-01-01T00:00","1991-07-01T00:00","1970-01-01T00:00","0.0","0.0","1991-07-01T00:00","1970-01-01T00:00","1991-07-01T00:00","1970-01-01T00:00","0.0","0.0","Bat_Ye'or",,"Bat_Ye'or",,"0.0","0.0","Bat_Ye'or",,"Bat_Ye'or",,"0.0","0.0","Bat_Ye'or",,"bat_ye'or","","0.0","0.0"
"WekaMatchingRule","C2157","wiki_books_13540",,"0","Jesus and John Wayne","The Man with a Thousand Names","Jesus and John Wayne","The Man with a Thousand Names","0.0","0.0","Jesus and John Wayne","The Man with a Thousand Names","Jesus and John Wayne","The Man with a Thousand Names","0.24137931034482762","0.24137931034482762","Jesus and John Wayne","The Man with a Thousand Names","Jesus and John Wayne","The Man with a Thousand Names","0.0","0.0","1905-07-12T00:00","1970-01-01T00:00","1905-07-12T00:00","1970-01-01T00:00","0.0","0.0","1905-07-12T00:00","1970-01-01T00:00","1905-07-12T00:00","1970-01-01T00:00","0.0","0.0","Kristin_Kobes_Du_Mez",,"Kristin_Kobes_Du_Mez",,"0.0","0.0","Kristin_Kobes_Du_Mez",,"Kristin_Kobes_Du_Mez",,"0.0","0.0","Kristin_Kobes_Du_Mez",,"kristin_kobes_du_mez","","0.0","0.0"
"WekaMatchingRule","C3353","wiki_books_14625","0.030332454251677594",,"A Wealth of Fable","A Web of Air","A Wealth of Fable","A Web of Air","0.0","0.0","A Wealth of Fable","A Web of Air","A Wealth of Fable","A Web of Air","0.5294117647058824","0.5294117647058824","A Wealth of Fable","A Web of Air","A Wealth of Fable","A Web of Air","0.3333333333333333","0.3333333333333333","1970-01-01T00:00","1970-01-01T00:00","1970-01-01T00:00","1970-01-01T00:00","1.0","1.0","1970-01-01T00:00","1970-01-01T00:00","1970-01-01T00:00","1970-01-01T00:00","1.0","1.0","Harry_Warner,_Jr.","Philip Reeve","Harry_Warner,_Jr.","Philip Reeve","0.0","0.0","Harry_Warner,_Jr.","Philip Reeve","Harry_Warner,_Jr.","Philip Reeve","0.11764705882352944","0.11764705882352944","Harry_Warner,_Jr.","Philip Reeve","harry_warner,_jr.","philip reeve","0.0","0.0"
