"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorEqual record1Value","[0] BookTitleComparatorEqual record2Value","[0] BookTitleComparatorEqual record1PreprocessedValue","[0] BookTitleComparatorEqual record2PreprocessedValue","[0] BookTitleComparatorEqual similarity","[0] BookTitleComparatorEqual postproccesedSimilarity","[1] BookTitleComparatorLevenshtein record1Value","[1] BookTitleComparatorLevenshtein record2Value","[1] BookTitleComparatorLevenshtein record1PreprocessedValue","[1] BookTitleComparatorLevenshtein record2PreprocessedValue","[1] BookTitleComparatorLevenshtein similarity","[1] BookTitleComparatorLevenshtein postproccesedSimilarity","[2] BookTitleComparatorJaccard record1Value","[2] BookTitleComparatorJaccard record2Value","[2] BookTitleComparatorJaccard record1PreprocessedValue","[2] BookTitleComparatorJaccard record2PreprocessedValue","[2] BookTitleComparatorJaccard similarity","[2] BookTitleComparatorJaccard postproccesedSimilarity","[3] BookPublishDateComparator2Years record1Value","[3] BookPublishDateComparator2Years record2Value","[3] BookPublishDateComparator2Years record1PreprocessedValue","[3] BookPublishDateComparator2Years record2PreprocessedValue","[3] BookPublishDateComparator2Years similarity","[3] BookPublishDateComparator2Years postproccesedSimilarity","[4] BookPublishDateComparator10Years record1Value","[4] BookPublishDateComparator10Years record2Value","[4] BookPublishDateComparator10Years record1PreprocessedValue","[4] BookPublishDateComparator10Years record2PreprocessedValue","[4] BookPublishDateComparator10Years similarity","[4] BookPublishDateComparator10Years postproccesedSimilarity","[5] BookAuthorComparatorJaccard record1Value","[5] BookAuthorComparatorJaccard record2Value","[5] BookAuthorComparatorJaccard record1PreprocessedValue","[5] BookAuthorComparatorJaccard record2PreprocessedValue","[5] BookAuthorComparatorJaccard similarity","[5] BookAuthorComparatorJaccard postproccesedSimilarity","[6] BookAuthorComparatorLevenshtein record1Value","[6] BookAuthorComparatorLevenshtein record2Value","[6] BookAuthorComparatorLevenshtein record1PreprocessedValue","[6] BookAuthorComparatorLevenshtein record2PreprocessedValue","[6] BookAuthorComparatorLevenshtein similarity","[6] BookAuthorComparatorLevenshtein postproccesedSimilarity","[7] BookAuthorComparatorLowerCaseJaccard record1Value","[7] BookAuthorComparatorLowerCaseJaccard record2Value","[7] BookAuthorComparatorLowerCaseJaccard record1PreprocessedValue","[7] BookAuthorComparatorLowerCaseJaccard record2PreprocessedValue","[7] BookAuthorComparatorLowerCaseJaccard similarity","[7] BookAuthorComparatorLowerCaseJaccard postproccesedSimilarity"
"WekaMatchingRule","B01593","wiki_books_6869","0.9999998734444437","1","The Burning Bridge","The Burning Bridge","The Burning Bridge","The Burning Bridge","1.0","1.0","The Burning Bridge","The Burning Bridge","The Burning Bridge","The Burning Bridge","1.0","1.0","The Burning Bridge","The Burning Bridge","The Burning Bridge","The Burning Bridge","1.0","1.0","2006-06-08T00:00","2005-05-05T00:00","2006-06-08T00:00","2005-05-05T00:00","0.5","0.5","2006-06-08T00:00","2005-05-05T00:00","2006-06-08T00:00","2005-05-05T00:00","0.9","0.9","John Flanagan","John Flanagan","John Flanagan","John Flanagan","1.0","1.0","John Flanagan","John Flanagan","John Flanagan","John Flanagan","1.0","1.0","John Flanagan","John Flanagan","john flanagan","john flanagan","1.0","0.0"
"WekaMatchingRule","B03468","wiki_books_5464","8.201575143125985E-4",,"The Story of a New Name","The Story of Ab","The Story of a New Name","The Story of Ab","0.0","0.0","The Story of a New Name","The Story of Ab","The Story of a New Name","The Story of Ab","0.6086956521739131","0.6086956521739131","The Story of a New Name","The Story of Ab","The Story of a New Name","The Story of Ab","0.42857142857142855","0.42857142857142855","2013-09-03T00:00","1897-01-28T00:00","2013-09-03T00:00","1897-01-28T00:00","0.0","0.0","2013-09-03T00:00","1897-01-28T00:00","2013-09-03T00:00","1897-01-28T00:00","0.0","0.0","Elena Ferrante, Ann Goldstein (Translator)","Stanley Waterloo","Elena Ferrante, Ann Goldstein (Translator)","Stanley Waterloo","0.0","0.0","Elena Ferrante, Ann Goldstein (Translator)","Stanley Waterloo","Elena Ferrante, Ann Goldstein (Translator)","Stanley Waterloo","0.2142857142857143","0.2142857142857143","Elena Ferrante, Ann Goldstein (Translator)","Stanley Waterloo","elena ferrante, ann goldstein (translator)","stanley waterloo","0.0","0.0"
"WekaMatchingRule","B36791","wiki_books_11046","1.6760107655376048E-4",,"nightrise","Nightwing","nightrise","Nightwing","0.0","0.0","nightrise","Nightwing","nightrise","Nightwing","0.6666666666666667","0.6666666666666667","nightrise","Nightwing","nightrise","Nightwing","0.0","0.0","2011-08-16T00:00","1970-01-01T00:00","2011-08-16T00:00","1970-01-01T00:00","0.0","0.0","2011-08-16T00:00","1970-01-01T00:00","2011-08-16T00:00","1970-01-01T00:00","0.0","0.0","Nell Stark (Goodreads Author), Trinity Tam","Martin Cruz Smith","Nell Stark (Goodreads Author), Trinity Tam","Martin Cruz Smith","0.0","0.0","Nell Stark (Goodreads Author), Trinity Tam","Martin Cruz Smith","Nell Stark (Goodreads Author), Trinity Tam","Martin Cruz Smith","0.16666666666666663","0.16666666666666663","Nell Stark (Goodreads Author), Trinity Tam","Martin Cruz Smith","nell stark (goodreads author), trinity tam","martin cruz smith","0.0","0.0"
"WekaMatchingRule","B09599","wiki_books_8017","3.4615980476995824E-5",,"The Titan's Curse: The Graphic Novel","The Titan's Curse","The Titan's Curse: The Graphic Novel","The Titan's Curse","0.0","0.0","The Titan's Curse: The Graphic Novel","The Titan's Curse","The Titan's Curse: The Graphic Novel","The Titan's Curse","0.4722222222222222","0.4722222222222222","The Titan's Curse: The Graphic Novel","The Titan's Curse","The Titan's Curse: The Graphic Novel","The Titan's Curse","0.6666666666666666","0.6666666666666666","2013-10-08T00:00","2007-04-01T00:00","2013-10-08T00:00","2007-04-01T00:00","0.0","0.0","2013-10-08T00:00","2007-04-01T00:00","2013-10-08T00:00","2007-04-01T00:00","0.4","0.4","Robert Venditti (Goodreads Author) (Adapter), Rick Riordan (Goodreads Author), Attila Futaki (Illustrations), Gregory Guilhaumond (Illustrations), Chris Dickey","Rick Riordan","Robert Venditti (Goodreads Author) (Adapter), Rick Riordan (Goodreads Author), Attila Futaki (Illustrations), Gregory Guilhaumond (Illustrations), Chris Dickey","Rick Riordan","0.14285714285714285","0.0","Robert Venditti (Goodreads Author) (Adapter), Rick Riordan (Goodreads Author), Attila Futaki (Illustrations), Gregory Guilhaumond (Illustrations), Chris Dickey","Rick Riordan","Robert Venditti (Goodreads Author) (Adapter), Rick Riordan (Goodreads Author), Attila Futaki (Illustrations), Gregory Guilhaumond (Illustrations), Chris Dickey","Rick Riordan","0.07547169811320753","0.07547169811320753","Robert Venditti (Goodreads Author) (Adapter), Rick Riordan (Goodreads Author), Attila Futaki (Illustrations), Gregory Guilhaumond (Illustrations), Chris Dickey","Rick Riordan","robert venditti (goodreads author) (adapter), rick riordan (goodreads author), attila futaki (illustrations), gregory guilhaumond (illustrations), chris dickey","rick riordan","0.14285714285714285","0.0"
"WekaMatchingRule","B24025","wiki_books_4930","2.268145167715341E-4",,"Casket of Souls","Carnival of Souls","Casket of Souls","Carnival of Souls","0.0","0.0","Casket of Souls","Carnival of Souls","Casket of Souls","Carnival of Souls","0.6470588235294117","0.6470588235294117","Casket of Souls","Carnival of Souls","Casket of Souls","Carnival of Souls","0.5","0.5","2012-05-29T00:00","2006-04-03T00:00","2012-05-29T00:00","2006-04-03T00:00","0.0","0.0","2012-05-29T00:00","2006-04-03T00:00","2012-05-29T00:00","2006-04-03T00:00","0.4","0.4","Lynn Flewelling (Goodreads Author)","Nancy Holder","Lynn Flewelling (Goodreads Author)","Nancy Holder","0.0","0.0","Lynn Flewelling (Goodreads Author)","Nancy Holder","Lynn Flewelling (Goodreads Author)","Nancy Holder","0.17647058823529416","0.17647058823529416","Lynn Flewelling (Goodreads Author)","Nancy Holder","lynn flewelling (goodreads author)","nancy holder","0.0","0.0"
"WekaMatchingRule","B11441","wiki_books_8696","8.351617502611062E-5",,"Necropolis","Neveryóna","Necropolis","Neveryóna","0.0","0.0","Necropolis","Neveryóna","Necropolis","Neveryóna","0.19999999999999996","0.19999999999999996","Necropolis","Neveryóna","Necropolis","Neveryóna","0.0","0.0","2014-04-24T00:00","1983-01-28T00:00","2014-04-24T00:00","1983-01-28T00:00","0.0","0.0","2014-04-24T00:00","1983-01-28T00:00","2014-04-24T00:00","1983-01-28T00:00","0.0","0.0","Guy Portman (Goodreads Author)","Samuel R. Delany","Guy Portman (Goodreads Author)","Samuel R. Delany","0.0","0.0","Guy Portman (Goodreads Author)","Samuel R. Delany","Guy Portman (Goodreads Author)","Samuel R. Delany","0.1333333333333333","0.1333333333333333","Guy Portman (Goodreads Author)","Samuel R. Delany","guy portman (goodreads author)","samuel r. delany","0.0","0.0"
"WekaMatchingRule","B11488","wiki_books_9218",,"0","Because of Anya","Already Dead","Because of Anya","Already Dead","0.0","0.0","Because of Anya","Already Dead","Because of Anya","Already Dead","0.19999999999999996","0.19999999999999996","Because of Anya","Already Dead","Because of Anya","Already Dead","0.0","0.0","2002-11-01T00:00","2005-12-27T00:00","2002-11-01T00:00","2005-12-27T00:00","0.0","0.0","2002-11-01T00:00","2005-12-27T00:00","2002-11-01T00:00","2005-12-27T00:00","0.7","0.7","Margaret Peterson Haddix","Charlie Huston","Margaret Peterson Haddix","Charlie Huston","0.0","0.0","Margaret Peterson Haddix","Charlie Huston","Margaret Peterson Haddix","Charlie Huston","0.20833333333333337","0.20833333333333337","Margaret Peterson Haddix","Charlie Huston","margaret peterson haddix","charlie huston","0.0","0.0"
"WekaMatchingRule","B26245","wiki_books_10072","7.509718561140576E-6",,"The End of Time: The Next Revolution in Our Understanding of the Universe","The End Of The Trail","The End of Time: The Next Revolution in Our Understanding of the Universe","The End Of The Trail","0.0","0.0","The End of Time: The Next Revolution in Our Understanding of the Universe","The End Of The Trail","The End of Time: The Next Revolution in Our Understanding of the Universe","The End Of The Trail","0.26027397260273977","0.26027397260273977","The End of Time: The Next Revolution in Our Understanding of the Universe","The End Of The Trail","The End of Time: The Next Revolution in Our Understanding of the Universe","The End Of The Trail","0.2727272727272727","0.2727272727272727","1999-09-01T00:00","1970-01-01T00:00","1999-09-01T00:00","1970-01-01T00:00","0.0","0.0","1999-09-01T00:00","1970-01-01T00:00","1999-09-01T00:00","1970-01-01T00:00","0.0","0.0","Julian Barbour",,"Julian Barbour",,"0.0","0.0","Julian Barbour",,"Julian Barbour",,"0.0","0.0","Julian Barbour",,"julian barbour","","0.0","0.0"
"WekaMatchingRule","B01809","wiki_books_7016","0.999999416371316","1","Green Rider","Green Rider","Green Rider","Green Rider","1.0","1.0","Green Rider","Green Rider","Green Rider","Green Rider","1.0","1.0","Green Rider","Green Rider","Green Rider","Green Rider","1.0","1.0","2000-04-01T00:00","1998-11-28T00:00","2000-04-01T00:00","1998-11-28T00:00","0.0","0.0","2000-04-01T00:00","1998-11-28T00:00","2000-04-01T00:00","1998-11-28T00:00","0.8","0.8","Kristen Britain","Kristen Britain","Kristen Britain","Kristen Britain","1.0","1.0","Kristen Britain","Kristen Britain","Kristen Britain","Kristen Britain","1.0","1.0","Kristen Britain","Kristen Britain","kristen britain","kristen britain","1.0","0.0"
"WekaMatchingRule","B31927","wiki_books_4805","0.8705155008744703","1","Revenant","Revenant","Revenant","Revenant","1.0","1.0","Revenant","Revenant","Revenant","Revenant","1.0","1.0","Revenant","Revenant","Revenant","Revenant","1.0","1.0","2001-01-02T00:00","2001-01-28T00:00","2001-01-02T00:00","2001-01-28T00:00","1.0","1.0","2001-01-02T00:00","2001-01-28T00:00","2001-01-02T00:00","2001-01-28T00:00","1.0","1.0","Mel Odom, Joss Whedon (Creator)","Mel Odom","Mel Odom, Joss Whedon (Creator)","Mel Odom","0.4","0.0","Mel Odom, Joss Whedon (Creator)","Mel Odom","Mel Odom, Joss Whedon (Creator)","Mel Odom","0.25806451612903225","0.25806451612903225","Mel Odom, Joss Whedon (Creator)","Mel Odom","mel odom, joss whedon (creator)","mel odom","0.4","0.0"
