"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorJaccard record1Value","[0] BookTitleComparatorJaccard record2Value","[0] BookTitleComparatorJaccard record1PreprocessedValue","[0] BookTitleComparatorJaccard record2PreprocessedValue","[0] BookTitleComparatorJaccard similarity","[0] BookTitleComparatorJaccard postproccesedSimilarity","[1] BookAuthorComparatorLevenshtein record1Value","[1] BookAuthorComparatorLevenshtein record2Value","[1] BookAuthorComparatorLevenshtein record1PreprocessedValue","[1] BookAuthorComparatorLevenshtein record2PreprocessedValue","[1] BookAuthorComparatorLevenshtein similarity","[1] BookAuthorComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","C2371","B15476","0.125",,"Evernight (series)","Beyond The Wall Of Sleep","evernight ","beyond the wall of sleep","0.0","0.0","Claudia_Gray","H.P. Lovecraft, August Derleth (Editor), Donald Wandrei (Editor), Francis T. Laney (Contributor), W. Paul Cook (Contributor), Clark Ashton Smith (Cover art)","claudia gray","h.p. lovecraft, august derleth , donald wandrei , francis t. laney , w. paul cook , clark ashton smith ","0.3125","0.3125"
"LinearCombinationMatchingRule","C93","B32976","0.0923076923076923",,"Be(com)ing Nigerian","The Bad Example","being nigerian","the bad example","0.0","0.0","Elnathan_John","Irmgard Keun, Leila Berg (Translator), Ruth Baer (Translator)","elnathan john","irmgard keun, leila berg , ruth baer ","0.23076923076923073","0.23076923076923073"
"LinearCombinationMatchingRule","C2369","B04604","0.14285714285714285",,"Evernight (series)","The Dwarf","evernight ","the dwarf","0.0","0.0","Claudia_Gray","Pär Lagerkvist, Alexandra Dick (Translator)","claudia gray","pär lagerkvist, alexandra dick ","0.3571428571428571","0.3571428571428571"
"LinearCombinationMatchingRule","C2369","B39702","0.08571428571428573",,"Evernight (series)","Rite of Passage","evernight ","rite of passage","0.0","0.0","Claudia_Gray","Alexei Panshin","claudia gray","alexei panshin","0.2142857142857143","0.2142857142857143"
"LinearCombinationMatchingRule","C93","B09959","0.1",,"Be(com)ing Nigerian","The Holy Terrors","being nigerian","the holy terrors","0.0","0.0","Elnathan_John","Jean Cocteau, Rosamond Lehmann (translator)","elnathan john","jean cocteau, rosamond lehmann ","0.25","0.25"
"LinearCombinationMatchingRule","C93","B19766","0.10666666666666669",,"Be(com)ing Nigerian","The Principle of Relativity (Books on Physics)","being nigerian","the principle of relativity ","0.0","0.0","Elnathan_John","Albert Einstein, Hermann Minkowski","elnathan john","albert einstein, hermann minkowski","0.2666666666666667","0.2666666666666667"
"LinearCombinationMatchingRule","C94","B35058","0.07999999999999999",,"Be(com)ing Nigerian","The Great Democracies","being nigerian","the great democracies","0.0","0.0","Elnathan_John","Winston S. Churchill","elnathan john","winston s. churchill","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","C2371","B26133","0.03333333333333335",,"Evernight (series)","Satires, Epistles and Ars Poetica","evernight ","satires, epistles and ars poetica","0.0","0.0","Claudia_Gray","Horatius, H.R. Fairclough (Translator)","claudia gray","horatius, h.r. fairclough ","0.08333333333333337","0.08333333333333337"
"LinearCombinationMatchingRule","C2369","B34490","0.03333333333333335",,"Evernight (series)","Looney Coon","evernight ","looney coon","0.0","0.0","Claudia_Gray","Sam Campbell","claudia gray","sam campbell","0.08333333333333337","0.08333333333333337"
"LinearCombinationMatchingRule","C2369","B35580","0.042105263157894736",,"Evernight (series)","The Crystal Tree","evernight ","the crystal tree","0.0","0.0","Claudia_Gray","Jennie D. Lindquist","claudia gray","jennie d. lindquist","0.10526315789473684","0.10526315789473684"
"LinearCombinationMatchingRule","C2369","B24697","0.06153846153846154",,"Evernight (series)","Sabrina Fair","evernight ","sabrina fair","0.0","0.0","Claudia_Gray","Samuel Taylor","claudia gray","samuel taylor","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C93","B06698","0.2",,"Be(com)ing Nigerian","Christ Recrucified","being nigerian","christ recrucified","0.0","0.0","Elnathan_John","Nikos Kazantzakis, Jonathan Griffin (Translator)","elnathan john","nikos kazantzakis, jonathan griffin ","0.5","0.5"
"LinearCombinationMatchingRule","C2369","B17925","0.0",,"Evernight (series)","The Witch in the Wood","evernight ","the witch in the wood","0.0","0.0","Claudia_Gray","T.H. White","claudia gray","t.h. white","0.0","0.0"
"LinearCombinationMatchingRule","C2369","B25543","0.05333333333333332",,"Evernight (series)","Salka Valka","evernight ","salka valka","0.0","0.0","Claudia_Gray","Halldór Laxness, F.H. Lyon (Translator)","claudia gray","halldór laxness, f.h. lyon ","0.1333333333333333","0.1333333333333333"
"LinearCombinationMatchingRule","C93","B30328","0.1",,"Be(com)ing Nigerian","বাবা যখন ছোটো","being nigerian","বাবা যখন ছোটো","0.0","0.0","Elnathan_John","Alexander Raskin, Noni Bhowmik (translator), Lev Tokmakov (Illustrator)","elnathan john","alexander raskin, noni bhowmik , lev tokmakov ","0.25","0.25"
"LinearCombinationMatchingRule","C93","B38053","0.03076923076923075",,"Be(com)ing Nigerian","Verrà la morte e avrà i tuoi occhi","being nigerian","verrà la morte e avrà i tuoi occhi","0.0","0.0","Elnathan_John","Cesare Pavese","elnathan john","cesare pavese","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","C93","B22702","0.12307692307692308",,"Be(com)ing Nigerian","Kingmaker's Sword","being nigerian","kingmaker's sword","0.0","0.0","Elnathan_John","Ann Marston","elnathan john","ann marston","0.3076923076923077","0.3076923076923077"
"LinearCombinationMatchingRule","C93","B19515","0.03076923076923075",,"Be(com)ing Nigerian","The Ill-Made Knight","being nigerian","the ill-made knight","0.0","0.0","Elnathan_John","T.H. White","elnathan john","t.h. white","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","C94","B37463","0.06153846153846154",,"Be(com)ing Nigerian","The Bumper Book","being nigerian","the bumper book","0.0","0.0","Elnathan_John","Watty Piper (Editor), Eulalie (Illustrator)","elnathan john","watty piper , eulalie ","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","C93","B21858","0.0923076923076923",,"Be(com)ing Nigerian","L'Homme approximatif","being nigerian","l'homme approximatif","0.0","0.0","Elnathan_John","Tristan Tzara","elnathan john","tristan tzara","0.23076923076923073","0.23076923076923073"
"LinearCombinationMatchingRule","C93","B31894","0.03076923076923075",,"Be(com)ing Nigerian","Murder in the Cathedral","being nigerian","murder in the cathedral","0.0","0.0","Elnathan_John","T.S. Eliot","elnathan john","t.s. eliot","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","C2371","B41516","0.12631578947368421",,"Evernight (series)","Walt Disney's Santa's Toy Shop (A Little Golden Book)","evernight ","walt disney's santa's toy shop ","0.0","0.0","Claudia_Gray","Al Dempster, Walt Disney Company (Illustrations)","claudia gray","al dempster, walt disney company ","0.3157894736842105","0.3157894736842105"
"LinearCombinationMatchingRule","C94","B37219","0.03076923076923075",,"Be(com)ing Nigerian","Prudence And The Pill","being nigerian","prudence and the pill","0.0","0.0","Elnathan_John","Hugh Mills","elnathan john","hugh mills","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","C94","B38307","0.06666666666666665",,"Be(com)ing Nigerian","The Way the Cookie Crumbles","being nigerian","the way the cookie crumbles","0.0","0.0","Elnathan_John","James Hadley Chase","elnathan john","james hadley chase","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","C2371","B06510","0.06666666666666665",,"Evernight (series)","Under Milk Wood","evernight ","under milk wood","0.0","0.0","Claudia_Gray","Dylan Thomas","claudia gray","dylan thomas","0.16666666666666663","0.16666666666666663"
